NS,Deg,Min,EW,Distance
N,89,28,W,319.53
N,71,42,E,8.31
N,68,55,E,41.48
S,66,59,E,4.48
S,18,32,E,107.76
S,25,19,W,4.09
S,84,52,W,42.77
