NS,Deg,Min,EW,Distance
S,10,38,W,52.22
S,73,31,E,4.44
S,29,42,E,35.41
S,13,15,W,4.45
S,65,08,W,52.29
N,59,20,W,4.00
N,21,48,W,34.13
