NS,Deg,Min,EW,Distance
S,56,45,W,298.75
N,67,39,E,39.32
S,54,41,E,3.62
S,20,22,E,35.23
S,65,26,W,37.79
N,28,39,W,18.81
N,22,44,W,13.82
