NS,Deg,Min,EW,Distance
S,55,52,W,242.03
N,73,55,W,3.54
N,19,59,W,36.91
N,21,24,E,3.97
N,66,05,E,138.22
S,76,02,E,4.06
S,24,31,E,30.48
