NS,Deg,Min,EW,Distance
S,53,23,W,221.77
N,64,38,E,119.06
S,67,59,E,4.06
S,21,53,E,34.52
S,17,59,W,4.79
S,66,59,W,141.47
N,70,56,W,4.25
